model,test_r2,test_mae,test_rmse
Stacked_Ensemble,0.8186424922748431,19.633161865295122,28.83201181226673
ET_Tuned,0.811735345758873,19.959216392189635,29.375926525179036
GB_Tuned,0.8034776833559503,20.42942122843736,30.013256185689595
RF_Tuned,0.794234787306248,20.46454639687229,30.71094317925423
