model,cv_r2_mean,cv_rmse_mean,test_mae,test_rmse,test_r2
GradientBoostingRegressor,0.6575328030917015,34.992061534455836,20.987524256817167,30.53700882783846,0.7965589288730899
RandomForestRegressor,0.6406791520365803,35.80429584132234,21.030471088435373,30.651023703329635,0.7950369323836237
LinearRegression,-2.0809152383946516,96.28433959801357,44.279094891097934,100.32739032699472,-1.1959612684053882
