metric,value
MAE,20.987524256817167
RMSE,30.53700882783846
R2 Score,0.7965589288730899
Best CV R2 RF,0.6547169410893114
Best CV R2 GB,0.6627933448518659
Selected Model,GradientBoostingRegressor
