feature,importance
cat__city_Pimpri-Chinchwad,0.0
cat__city_Perundurai,0.0
cat__city_Patiala,0.0
cat__city_Parbhani,0.0
cat__city_Panipat,0.0
cat__city_Panchkula,0.0
cat__city_Noida,0.0
cat__city_Panchgaon,0.0
cat__city_Palwal,0.0
cat__city_Pali,0.0
cat__city_Navi Mumbai,0.0
cat__city_Prayagraj,0.0
cat__city_Purnia,0.0
cat__city_Raipur,0.0
cat__city_Sasaram,0.0
cat__city_Satna,0.0
cat__city_Sawai Madhopur,0.0
cat__city_Shillong,0.0
cat__city_Rairangpur,0.0
cat__city_Rajamahendravaram,0.0
cat__city_Rajkot,0.0
cat__city_Rajsamand,0.0
cat__city_Ratlam,0.0
cat__city_Rishikesh,0.0
cat__city_Rohtak,0.0
cat__city_Rourkela,0.0
cat__city_Sagar,0.0
cat__city_Saharsa,0.0
cat__city_Samastipur,0.0
cat__city_Sangli,0.0
cat__city_Thane,0.0
cat__city_Surat,0.0
cat__city_Suakati,0.0
cat__city_Srinagar,0.0
cat__city_Sri Ganganagar,0.0
cat__city_Solapur,0.0
cat__city_Siwan,0.0
cat__city_Sivasagar,0.0
cat__city_Singrauli,0.0
cat__city_Siliguri,0.0
cat__city_Silchar,0.0
cat__city_Sikar,0.0
cat__city_Thiruvananthapuram,0.0
cat__city_Thoothukudi,0.0
cat__city_Thrissur,0.0
cat__city_Tirumala,0.0
cat__city_Vijayawada,0.0
cat__city_Vijayapura,0.0
cat__city_Vatva,0.0
cat__city_Varanasi,0.0
cat__city_Vapi,0.0
cat__city_Vadodara,0.0
cat__city_Ujjain,0.0
cat__city_Udaipur,0.0
cat__city_Tumidih,0.0
cat__city_Tumakuru,0.0
cat__city_Tonk,0.0
cat__city_Tirupati,0.0
cat__city_Virar,0.0
cat__city_Visakhapatnam,0.0
cat__city_Vrindavan,0.0
cat__city_Yadgir,0.0
