state,city,station,latitude,longitude,Co,Nh3,No2,Ozone,Pm10,Pm2.5,So2,state_encoded,city_encoded
Andaman And Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - Anpcc",11.654054,92.734055,0.2865791293802491,0.5504114078641149,0.540543770795601,0.3167889119831485,0.5016372857841502,98.8,0.48542608689567335,0,220
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - Appcb",16.5150833,80.5181667,0.6127287678300373,0.5198713111016555,0.6463200088787074,0.6964514722202216,0.5934848417346954,87.8,0.62940182849272,1,8
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - Appcb",14.675886,77.593027,0.16459829951572202,0.4335954267425991,0.3893694047245059,0.44451943057250787,0.2358411288182607,80.6,0.37172742154917826,1,11
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - Appcb",13.20488,79.097889,0.3825882067125532,0.5353876933209418,0.5172091013268413,0.7826572039509582,0.18400545702102722,73.6,0.6582758501475355,1,67
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - Appcb",14.465052,78.824187,0.36012008482680535,0.4335954267425991,0.46341414752884347,0.37295697215474644,0.26713015923658734,91.75,0.6039112062175432,1,118
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - Appcb",16.9872867,81.7363176,0.5240298633496232,0.5790994190522669,0.5518605421034638,0.48977972674190473,0.5269497815938786,103.2,0.48542608689567335,1,192
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - Appcb",13.67,79.35,0.30379779209713953,0.0,0.4536692177744647,0.9650582504153601,0.2945727686506423,82.6,0.3172675232159744,1,230
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - Appcb",13.615387,79.40923,0.26880041298570245,0.4521549529554886,0.4601931733727519,0.4174392564903687,0.28076257197900834,92.2,0.5303611831571654,1,231
Andhra_Pradesh,Vijayawada,"Hb Colony, Vijayawada - Appcb",16.536107,80.594233,0.551644185905084,0.3037299189003889,0.39323782085915127,0.0,0.23398549279287062,86.2,0.6039112062175432,1,243
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - Appcb",16.486692,80.699436,0.5249731722030857,0.4335954267425991,0.42992310608000006,0.5463793502792745,0.03681373399275811,63.0,0.6039112062175432,1,243
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - Appcb",16.509717,80.612222,0.551644185905084,0.3037299189003889,0.640290055286643,0.5373036432466277,0.24687699202679347,84.2,0.5600226401684377,1,243
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - Appcb",16.554731,80.64911,0.4350226866630842,0.4335954267425991,0.49717239076939357,0.5160818889902693,0.20749892745114717,81.6,0.6039112062175432,1,243
Andhra_Pradesh,Visakhapatnam,"Gvm Corporation, Visakhapatnam - Appcb",17.72,83.3,0.47672275266707986,0.32800227820223793,0.9019871494368897,0.617941808697036,0.7566496484007761,110.6,0.26652379084550215,1,245
Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - Apspcb",27.103358,93.679645,0.5096813402565941,0.0,0.04055370135549419,0.0738117874481784,0.7921028437710351,190.2,0.37172742154917826,2,166
Assam,Byrnihat,"Central Academy For Sfs, Byrnihat - Pcba",26.071318,91.87488,0.720066382545191,0.4335954267425991,0.08588888240438941,0.42208436208376543,0.3377330619931618,146.2,0.8751733451593829,3,57
Assam,Guwahati,"Lgbi Airport, Guwahati - Pcba",26.10887,91.589544,0.5154660222259084,0.5198713111016555,0.3306836079235219,0.37295697215474644,0.3900785828145268,77.66666666666667,0.47864234874914147,3,96
Assam,Guwahati,"Pan Bazaar, Guwahati - Pcba",26.1875,91.744194,0.7235183844671973,0.0,0.540543770795601,0.3514443643529356,0.5016372857841502,144.0,0.9384964637590328,3,96
Assam,Guwahati,"Railway Colony, Guwahati - Pcba",26.181742,91.78063,0.48286492228590205,0.5504114078641149,0.0,0.5303564381412035,0.7912371739802375,261.25,0.7587882812790486,3,96
Assam,Nagaon,"Christianpatty, Nagaon - Pcba",26.349082,92.68449,0.10700325337074412,0.4335954267425991,0.0,0.21380914318115274,0.5029239687303253,135.6,0.3885671283181241,3,163
Assam,Nalbari,"Bata Chowk, Nalbari - Pcba",26.446912,91.439057,0.2216464248097434,0.5928165319549223,0.30734893845476197,0.42208436208376543,0.47139997767616926,132.8,0.27711888092985715,3,167
Assam,Silchar,"Tarapur, Silchar - Pcba",24.82827,92.79525,0.3562839473650916,0.0,0.5518605421034638,0.0,0.02206187099323964,58.4,0.15863376160798714,3,211
Assam,Sivasagar,"Girls College, Sivasagar - Pcba",26.987634,94.636574,0.838374093756826,0.8318311289201817,0.7428303240185531,0.37295697215474644,0.007005824534620064,59.6,0.4921135985560886,3,215
Bihar,Araria,"Kharahiya Basti, Araria - Bspcb",26.146529,87.454184,0.35820538113571443,0.4335954267425991,0.0,0.25121904083107516,0.24229896835981934,95.0,0.9561941537804063,4,14
Bihar,Arrah,"New Dm Office, Arrah - Bspcb",25.5626095,84.663264,0.689024550867851,0.12415267475325059,0.04055370135549419,0.1724544199480792,0.0,41.9,0.37172742154917826,4,15
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - Bspcb",24.75746,84.366208,0.9999999999999998,0.1918690328994176,0.08588888240438941,0.5918616525867321,0.2772688218543258,41.9,0.3967666683307166,4,17
Bihar,Begusarai,"Lohiyanagar, Begusarai - Bspcb",25.42742023,86.13886079,0.7559642236218009,0.8478735893038934,0.11866647755907578,0.4031647073394341,0.3441523770334549,121.0,0.7587882812790486,4,33
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - Bspcb",26.80365,84.51954,0.9477803518023615,0.0,0.08588888240438941,0.5574366122233428,0.23953831333983233,85.4,0.6039112062175432,4,36
Bihar,Bhagalpur,"Dm Office_Kachari Chowk, Bhagalpur - Bspcb",25.251013,86.989001,0.007337658425528026,0.0,0.08588888240438941,0.42208436208376543,0.16383311385442623,60.8,0.9965959298535944,4,37
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - Bspcb",25.265194,87.012947,0.8783155362825703,0.8066991739956514,0.04055370135549419,0.4698512416675106,0.39951978632456653,41.9,1.0,4,37
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - Bspcb",25.204762,85.51496,0.8587095300645304,0.5198713111016555,0.1264425837598837,0.0,0.0,65.0,0.37172742154917826,4,47
Bihar,Buxar,"Charitra Van, Buxar - Bspcb",25.56752,83.966379,0.30801902809181536,0.32800227820223793,0.1264425837598837,0.20587944233963307,0.21134205412798535,79.0,0.8088387441832338,4,55
Bihar,Chhapra,"Darshan Nagar, Chhapra - Bspcb",25.7808257,84.7446768,0.7014488889743367,0.7117403440010731,0.0,0.0,0.475415711260454,94.2,0.7950724620343098,4,64
Bihar,Gaya,"Kareemganj, Gaya - Bspcb",24.792403,84.992416,0.7522455198595777,0.0,0.2274276820306912,0.512430636226808,0.6449976313030263,64.0,1.0,4,90
Bihar,Gaya,"Sfti Kusdihra, Gaya - Bspcb",24.762518,84.982348,0.38987694596091016,0.4335954267425991,0.47912670326354057,0.2918594657020871,0.12820690761189368,76.4,0.2976204442986973,4,90
Bihar,Hajipur,"Industrial Area, Hajipur - Bspcb",25.697189,85.2459,0.557003516527611,0.978054463542423,0.9999999999999999,0.7618447373663334,0.5762489734470453,163.0,0.053430130904311146,4,98
Bihar,Katihar,"Mirchaibari, Katihar - Bspcb",25.560083,87.553265,0.9952361585661966,0.0,0.1264425837598837,0.12622377262532025,0.46058211488215717,77.6,0.7194770489237373,4,126
Bihar,Kishanganj,"Sdm Office_Khagra, Kishanganj - Bspcb",26.0881305,87.93840336,0.17003762145779766,0.32800227820223793,0.1966189104295757,0.6824318804290975,0.37695797965684585,148.0,0.27711888092985715,4,131
Bihar,Manguraha,"Forest Rest House, Manguraha - Bspcb",27.308328,84.531742,0.4546648241045703,0.0,0.0,0.25121904083107516,0.5054905526839173,97.0,0.5769632051401629,4,151
Bihar,Motihari,"Gandak Colony, Motihari - Bspcb",26.63086,84.90051,0.5268549205154218,0.32800227820223793,0.08588888240438941,0.0,0.36463376502429545,98.0,0.0,4,157
Bihar,Munger,"Town Hall, Munger - Bspcb",25.376776,86.471523,0.661095429947842,0.1918690328994176,0.0,0.25121904083107516,0.12820690761189368,90.4,0.8602050509239544,4,159
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - Bspcb",26.11442,85.39813,0.6973387391982226,0.8066991739956514,0.640290055286643,0.7989011844371018,0.45785242055173825,130.0,0.08595762511309046,4,161
Bihar,Muzaffarpur,"Mit-Daudpur Kothi, Muzaffarpur - Bspcb",26.1403345,85.3650192,0.6269899421489373,0.4872233834145613,0.0,0.6207354634913765,0.10640850130959212,89.2,0.48542608689567335,4,161
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - Bspcb",26.1209,85.3647,0.47362559228612233,0.5504114078641149,0.27734121639458775,0.33449899152793316,0.5016372857841502,93.0,0.20965231862459366,4,161
Bihar,Patna,"Drm Office Danapur, Patna - Bspcb",25.586562,85.043586,0.7409351713198034,0.5198713111016555,0.7595349013474747,0.7808101095228214,0.6565465653820608,122.6,0.15863376160798714,4,181
